Record Length,Analog:10000
Sample Interval,5.000000E-04
Vertical Units,V,
Vertical Scale,+1.000000E-03
Vertical Offset,-7.500000E-04
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0Q808352
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-2.2006000000E+00,-8.250000E-04
-2.2001000000E+00,-9.250000E-04
-2.1996000000E+00,-2.958333E-04
-2.1991000000E+00,-2.979167E-04
-2.1986000000E+00,-6.333333E-04
-2.1981000000E+00,-5.604167E-04
-2.1976000000E+00,-5.000000E-04
-2.1971000000E+00,-4.312500E-04
-2.1966000000E+00,-5.208333E-05
-2.1961000000E+00,-3.020833E-04
-2.1956000000E+00,-1.895833E-04
-2.1951000000E+00,-6.229167E-04
-2.1946000000E+00,-2.541667E-04
-2.1941000000E+00,+6.041667E-05
-2.1936000000E+00,-5.833333E-05
-2.1931000000E+00,-7.916667E-05
-2.1926000000E+00,-1.937500E-04
-2.1921000000E+00,-1.818989E-12
-2.1916000000E+00,+3.312500E-04
-2.1911000000E+00,+2.437500E-04
-2.1906000000E+00,-8.541667E-05
-2.1901000000E+00,+1.458333E-05
-2.1896000000E+00,-6.458334E-05
-2.1891000000E+00,-1.208333E-04
-2.1886000000E+00,+1.250000E-04
-2.1881000000E+00,+3.708333E-04
-2.1876000000E+00,+5.208334E-04
-2.1871000000E+00,+2.875000E-04
-2.1866000000E+00,+2.125000E-04
-2.1861000000E+00,+2.500000E-04
-2.1856000000E+00,+5.770833E-04
-2.1851000000E+00,+4.958333E-04
-2.1846000000E+00,+6.520833E-04
-2.1841000000E+00,+3.291667E-04
-2.1836000000E+00,+5.979167E-04
-2.1831000000E+00,+6.312500E-04
-2.1826000000E+00,+9.125000E-04
-2.1821000000E+00,+7.645834E-04
-2.1816000000E+00,+5.625000E-04
-2.1811000000E+00,+5.916667E-04
-2.1806000000E+00,+3.625000E-04
-2.1801000000E+00,+7.312500E-04
-2.1796000000E+00,+9.395833E-04
-2.1791000000E+00,+7.270834E-04
-2.1786000000E+00,+6.750000E-04
-2.1781000000E+00,+7.395833E-04
-2.1776000000E+00,+7.208333E-04
